delay,condition,textbox.text,,,,,,,,,,
0.1,exp,123,,,,,,,,,,
0.1,exp,67,,,,,,,,,,
0.1,exp,890,,,exp100,exp400,exp700,,unexp100,unexp400,unexp700,
0.1,exp,678,,,123,890,567,,23,11,789,
0.1,exp,11,,,67,345,133,,1,789,7,
0.1,exp,890,,,890,567,21,,890,345,456,
0.1,exp,55,,,678,22,56,,654,890,789,
0.1,exp,22,,,11,11,45,,321,532,11,
0.1,exp,112,,,890,654,234,,567,328,764,
0.1,exp,77,,,55,11,11,,875,888,321,
0.1,exp,112,,,22,77,77,,789,55,459,
0.1,exp,456,,,112,555,1245,,888,607,789,
0.1,exp,77,,,77,321,66,,670,560,349,
0.1,exp,99,,,112,765,213,,770,766,444,
0.1,exp,236,,,456,11,321,,123,679,670,
0.1,exp,11,,,77,444,345,,449,234,708,
0.1,exp,77,,,99,88,112,,789,325,50,
0.1,exp,347,,,236,478,77,,773,211,777,
0.1,exp,678,,,11,864,11,,455,345,23,
0.1,exp,117,,,77,88,223,,679,897,764,
0.1,exp,109,,,347,11,134,,567,111,674,
0.1,exp,704,,,678,119,982,,754,456,123,
0.1,exp,214,,,117,55,678,,567,654,,
0.1,exp,267,,,109,110,345,,678,567,546,
0.1,exp,328,,,704,670,987,,786,664,559,
0.1,exp,333,,,214,678,789,,657,678,795,
0.1,exp,123,,,267,240,567,,778,684,576,
0.1,exp,129,,,328,444,,,567,234,234,
0.1,exp,679,,,333,321,456,,334,674,675,
0.1,exp,670,,,123,11,77,,236,120,674,
0.1,exp,669,,,129,776,88,,332,237,685,
0.1,exp,660,,,679,66,456,,675,798,29,
0.1,exp,789,,,670,780,549,,698,679,798,
0.1,exp,789,,,669,334,100,,675,459,58,
0.1,exp,777,,,660,780,799,,674,,632,
0.1,exp,560,,,789,670,560,,786,,489,
0.1,exp,450,,,789,340,440,,590.3030303,499.2580645,491.15625,
0.1,exp,670,,,777,783,440,,,,,
0.1,exp,777,,,560,780,80,,diff in interval estimates ,100,400,700
0.1,exp,679,,,450,340,210,,,-86.06833643,-24.31867058,-31.3807398
0.1,exp,679,,,670,231,222,,,,,
0.1,exp,321,,,777,789,697,,,,,
0.1,exp,643,,,679,450,111,,,,,
0.1,exp,569,,,679,794,222,,,,,
0.1,exp,438,,,321,890,87,,,,,
0.1,exp,679,,,643,999,899,,,,,
0.1,exp,674,,,569,213,679,,,,,
0.1,exp,234,,,438,543,111,,,,,
0.1,exp,435,,,679,779,789,,,,,
0.1,exp,786,,,674,139,569,,,,,
0.1,exp,679,,,234,768,399,,,,,
0.1,exp,123,,,435,213,325,,,,,
0.1,exp,798,,,786,679,789,,,,,
0.1,exp,653,,,679,324,532,,,,,
0.1,exp,955,,,123,659,897,,,,,
0.1,exp,459,,,798,438,657,,,,,
0.1,exp,754,,,653,332,112,,,,,
0.1,exp,786,,,955,672,568,,,,,
0.1,exp,458,,,459,213,221,,,,,
0.1,exp,685,,,754,685,786,,,,,
0.1,exp,78,,,786,239,768,,,,,
0.1,exp,459,,,458,329,683,,,,,
0.1,exp,786,,,685,785,321,,,,,
0.1,exp,347,,,78,456,687,,,,,
0.1,exp,789,,,459,123,123,,,,,
0.1,exp,574,,,786,567,785,,,,,
0.1,exp,685,,,347,673,932,,,,,
0.1,exp,573,,,789,569,678,,,,,
0.1,exp,854,,,574,128,382,,,,,
0.1,exp,675,,,685,574,548,,,,,
0.1,exp,675,,,573,123,539,,,,,
0.1,exp,657,,,854,345,675,,,,,
0.1,exp,234,,,675,832,234,,,,,
0.1,exp,567,,,675,568,568,,,,,
0.1,exp,673,,,657,324,786,,,,,
0.1,exp,432,,,234,756,678,,,,,
0.1,exp,778,,,567,686,658,,,,,
0.1,exp,687,,,673,22,438,,,,,
0.1,exp,675,,,432,234,789,,,,,
0.1,exp,786,,,778,432,447,,,,,
0.1,exp,,,,687,563,332,,,,,
0.1,exp,573,,,675,786,123,,,,,
0.1,exp,432,,,786,564,54,,,,,
0.1,exp,675,,,,569,123,,,,,
0.1,exp,450,,,573,23,567,,,,,
0.1,exp,450,,,432,674,345,,,,,
0.1,exp,123,,,675,685,78,,,,,
0.1,exp,789,,,450,383,675,,,,,
0.1,exp,654,,,450,768,569,,,,,
0.1,exp,456,,,123,432,457,,,,,
0.1,exp,129,,,789,675,689,,,,,
0.1,exp,776,,,654,321,876,,,,,
0.1,exp,678,,,456,876,546,,,,,
0.1,exp,765,,,129,837,568,,,,,
0.1,exp,675,,,776,657,908,,,,,
